"Name","Domain","Phone","Emails","Website"
"Cove Haven Resort","covepoconoresorts.com","+1 800-987-2050","love@covepoconoresorts.com, love@covpoconoresorts.com","https://www.covepoconoresorts.com/?__trackcampaign=f72dg0cz&utm_source=google%20business&utm_medium=link&utm_campaign=cpr%20link"
"Nemacolin","nemacolin.com","+1 866-344-6957","contact@nemacolin.com","http://www.nemacolin.com/"
"Omni Bedford Springs Resort & Spa","omnihotels.com","+1 814-623-8100","","https://www.omnihotels.com/hotels/bedford-springs?utm_source=gmblisting&utm_medium=organic"
"Eden Resort & Suites","edenresort.com","+1 717-569-6444","reservations@edenresort.com, sales@edenresort.com, weddings@edenresort.com, eden@edenresort.com","https://www.edenresort.com/"
"The Woodlands Inn and Resort","stayinthewoods.com","+1 570-824-9831","front.desk@thewoodlandsresort.com","http://stayinthewoods.com/"
"Chateau Resort & Conference Center","chateauresort.com","+1 570-629-5900","","http://www.chateauresort.com/"
"Historic Summit Inn Resort","summitinnresort.com","+1 724-438-8594","info@summitinnresort.com, events@summitinnresort.com","http://www.summitinnresort.com/"
"Bear Creek Mountain Resort","bcmountainresort.com","+1 866-754-2822","","https://www.bcmountainresort.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp"
"Bear Mountain Lodge","bearmountainbb.com","+1 570-724-2428","","http://www.bearmountainbb.com/"
"Pocono Mountains Hotel and Spa","poconomountainshotelandspa.com","+1 570-468-3852","booking@poconomountainshotelandspa.com","http://poconomountainshotelandspa.com/"
"Magnolia Streamside Resort| Family Pocono Resort | Couples Resort Poconos | Wedding & Event Venue","magnoliastreamside.com","+1 570-595-2489","info@magnoliastreamside.com, info@magnoliastreamside.com, info@magnoliastreamside.com","https://magnoliastreamside.com/"
"Buhl Mansion Guesthouse & Spa","buhlmansion.com","+1 724-346-3046","","https://buhlmansion.com/?utm_source=google&utm_medium=GMB"
"Heritage Hills Golf Resort","heritagehillsresort.com","+1 717-755-0123","","http://www.heritagehillsresort.com/"
"The Shawnee Inn and Golf Resort","shawneeinn.com","+1 570-424-4000","sales@shawneeinn.com","https://www.shawneeinn.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing"
"Silver Birches","silverbirchesresortpa.com","+1 570-226-4388","forms@tambourine.com, info@silverbirchesresortpa.com","http://www.silverbirchesresortpa.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing"
"Four Seasons Hotel Philadelphia at Comcast Center","fourseasons.com","+1 215-419-5000","","https://www.fourseasons.com/philadelphia/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-phi-hre-mid-seo-na&utm_content=na-na&utm_term=na"
"DoubleTree Resort by Hilton Hotel Lancaster","hilton.com","+1 717-464-2711","","https://www.hilton.com/en/hotels/lnswvdt-doubletree-resort-lancaster/?SEO_id=GMB-AMER-DT-LNSWVDT&y_source=1_MTM3MjczNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"The Inn At Leola Village - A Historic Hotel of America","theinnatleolavillage.com","+1 717-656-7002","sleeptight@theinnatleolavillage.com, u003esleeptight@theinnatleolavillage.com","https://www.theinnatleolavillage.com/en/"
"City Hall Grand Hotel","cityhallgrandhotel.com","+1 570-215-2810","215-2810info@cityhallventures.com, info@cityhallventures.com","http://www.cityhallgrandhotel.com/"
"Allenberry","allenberry.com","+1 717-258-3211","","http://www.allenberry.com/"
"Holiday Inn Nyc - Lower East Side by IHG","ihg.com","+1 212-475-2500","","https://www.ihg.com/holidayinn/hotels/us/en/new-york/nyces/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-NYCES"
"Home2 Suites by Hilton East Hanover","hilton.com","+1 973-887-0037","","https://www.hilton.com/en/hotels/ewrehht-home2-suites-east-hanover/?SEO_id=GMB-AMER-HT-EWREHHT&y_source=1_MjUwNTkxMjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
"Glasbern - A Historic Hotel of America","glasbern.com","+1 610-285-4723","","https://www.glasbern.com/"
"Bridgeton House on the Delaware","bridgetonhouse.com","+1 610-982-5856","","https://www.bridgetonhouse.com/?utm_source=google&utm_medium=organic&utm_campaign=+googlemybusiness"
"Inn of the Dove at Bensalem-Jacuzzi & Fireplace Suites","dovesuites.com","+1 215-638-3683 ext. 1","","https://www.dovesuites.com/"
"Ledges Hotel","ledgeshotel.com","+1 570-226-1337","forms@tambourine.com, info@ledgeshotel.com","https://ledgeshotel.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing"
"Lake Harmony Inn","lakeharmonyinn.com","+1 570-722-0522","lakeharmonyinn@gmail.com","http://lakeharmonyinn.com/"
"Smith House Inn","smithhouseinn.com","+1 814-395-2642","innkeeper@smithhouseinn.com","http://www.smithhouseinn.com/"
"Hotel Fauchre","hotelfauchere.com","+1 570-409-1212","","https://hotelfauchere.com/"
"Woodfield Manor","woodfieldmanor.com","+1 570-895-4401","jmerli@woodfieldmanor.com, cdickinson@woodfieldmanor.com, gm@woodfieldmanor.com, guestservices@woodfieldmanor.com","http://www.woodfieldmanor.com/"
"Hartman Center Campground and Retreat","hartmancentercampground.com","+1 570-217-0592","email@email.com, hartmancentermanager@gmail.com, info@freestoneinn.com, hartmancentercampground@gmail.com","https://hartmancentercampground.com/"
"Foxburg Inn Hotel","foxburginn.com","+1 724-659-3116","info@foxburginn.com","http://www.foxburginn.com/"
